技能组合编号,技能组合名称,组合层级,技能一名称,技能二名称,历史共现相似度,技能簇一,技能簇二,标准技能名称_技能一,技能编号_技能一,技能展示名称_技能一,技能一级类型_技能一,技能簇编号_技能一,技能簇名称_技能一,标准技能名称_技能二,技能编号_技能二,技能展示名称_技能二,技能一级类型_技能二,技能簇编号_技能二,技能簇名称_技能二,组合键,pair_jobs_x,pair_jobs_early,pair_jobs_late,pair_jobs_recent,NPMI_2016_2025,NPMI_2016_2020,NPMI_2021_2025,NPMI_2022_2025,跨期NPMI均为正,NPMI排名,工资互补效应_all_%,工资互补效应下限95_all_%,工资互补效应上限95_all_%,工资互补p值_all,工资互补BH调整p值_all,工资支持职业数_all,工资互补效应_recent_%,工资互补效应下限95_recent_%,工资互补效应上限95_recent_%,工资互补p值_recent,工资互补BH调整p值_recent,工资支持职业数_recent,pair_jobs_y,2025组合需求率,组合需求率_2028,组合需求率下限90_2028,组合需求率上限90_2028,2025_2028每万岗位需求变化,近期工资方向一致,工资证据权重,NPMI得分,工资得分,需求得分,互补证据等级,skill_type,cluster_id,cluster_name,original_type,skill_jobs,pair_jobs,recent_pair_jobs,active_months,AI共现提升度,AI共现强度_NPMI,历史AI协同占比,ai_given_skill_coef,ai_given_skill_se,ai_given_skill_p,ai_given_skill_low,ai_given_skill_high,ai_given_skill_occupations,ai_given_skill_weight,skill_given_ai_coef,skill_given_ai_se,skill_given_ai_p,skill_given_ai_low,skill_given_ai_high,skill_given_ai_occupations,skill_given_ai_weight,strict_complement_coef,strict_complement_se,strict_complement_p,strict_complement_low,strict_complement_high,strict_complement_occupations,strict_complement_weight,ai_given_skill_pct,ai_given_skill_low_pct,ai_given_skill_high_pct,ai_given_skill_bh_p,skill_given_ai_pct,skill_given_ai_low_pct,skill_given_ai_high_pct,skill_given_ai_bh_p,strict_complement_pct,strict_complement_low_pct,strict_complement_high_pct,strict_complement_bh_p,recent_ai_given_skill_coef,recent_ai_given_skill_se,recent_ai_given_skill_p,recent_ai_given_skill_low,recent_ai_given_skill_high,recent_ai_given_skill_occupations,recent_ai_given_skill_weight,recent_skill_given_ai_coef,recent_skill_given_ai_se,recent_skill_given_ai_p,recent_skill_given_ai_low,recent_skill_given_ai_high,recent_skill_given_ai_occupations,recent_skill_given_ai_weight,recent_strict_complement_coef,recent_strict_complement_se,recent_strict_complement_p,recent_strict_complement_low,recent_strict_complement_high,recent_strict_complement_occupations,recent_strict_complement_weight,recent_ai_given_skill_pct,recent_ai_given_skill_low_pct,recent_ai_given_skill_high_pct,recent_ai_given_skill_bh_p,recent_skill_given_ai_pct,recent_skill_given_ai_low_pct,recent_skill_given_ai_high_pct,recent_skill_given_ai_bh_p,recent_strict_complement_pct,recent_strict_complement_low_pct,recent_strict_complement_high_pct,recent_strict_complement_bh_p,2025_AI技能组合需求_每万岗位,2025_技能岗位中AI协同占比,2025_AI组合月薪中位数,2025_非AI组合月薪中位数,2025_AI组合城市覆盖率,2028_AI技能组合需求_每万岗位,2025_2028组合需求变化_每万岗位,2028_技能岗位中AI协同占比,AI协同占比变化_百分点,2028_AI组合月薪中位数,2028_非AI组合月薪中位数,2028_AI组合工资优势_%,2025_2028_AI组合工资变化_%,2028_AI组合城市覆盖率,城市覆盖率变化_百分点,AI协同优势类型,证据等级,AI组合未来市场前景,技能显示名称,技能一编号_技能一,cluster_a,cluster_a_nature,cluster_b,cluster_b_nature,cluster_a_1,cluster_b_1,2022_2025组合岗位数,2025组合岗位数,当前月薪中位数,平均最低经验年限,本科及以上岗位占比,覆盖职业小类数,覆盖城市数,有效职业广度,主要职业小类_TOP5,主要城市_TOP5,pair_n,n_a,n_b,标准化共现强度_NPMI,组合类型,工资互补对数系数,工资互补对数系数标准误,互补效应p值,工资互补对数系数下限95,工资互补对数系数上限95,工资共同支持职业数,工资互补估计权重,工资互补效应_%,互补效应下限95_%,互补效应上限95_%,互补效应BH调整p值,total_jobs_2025,2028组合需求率预测,2028组合需求率预测下限90,2028组合需求率预测上限90,2025_2028需求增长_%,status,需求预测模型,需求预测回测WMAE,total_hits
ZH00001,3ds Max+Maya,标准技能组合,3ds Max,Maya,0.955625629768756,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,Maya,JN0340,Maya（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||Maya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01401,Kafka+TiDB,标准技能组合,Kafka,TiDB,0.7935933696874636,19.0,19.0,Kafka,JN0165,Kafka（开发框架）,工具软件与技术平台,19.0,大数据工程与数据仓库,TiDB,JN0614,TiDB（数据库与大数据平台）,工具软件与技术平台,19.0,大数据工程与数据仓库,Kafka||TiDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01402,ELK+TiDB,标准技能组合,ELK,TiDB,0.784958196433555,13.0,19.0,ELK,JN0414,ELK（日志分析与运维）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,TiDB,JN0614,TiDB（数据库与大数据平台）,工具软件与技术平台,19.0,大数据工程与数据仓库,ELK||TiDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01403,Tomcat+WebLogic,标准技能组合,Tomcat,WebLogic,0.9675181788521117,3.0,3.0,Tomcat,JN0096,Tomcat（运维云与安全）,工具软件与技术平台,3.0,Java后端开发与中间件,WebLogic,JN0195,WebLogic（应用服务器）,工具软件与技术平台,3.0,Java后端开发与中间件,Tomcat||WebLogic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01404,JBoss+Tomcat,标准技能组合,JBoss,Tomcat,0.9534377082141395,3.0,3.0,JBoss,JN0307,JBoss（应用服务器）,工具软件与技术平台,3.0,Java后端开发与中间件,Tomcat,JN0096,Tomcat（运维云与安全）,工具软件与技术平台,3.0,Java后端开发与中间件,JBoss||Tomcat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01405,Maven+Tomcat,标准技能组合,Maven,Tomcat,0.951249771222203,3.0,3.0,Maven,JN0244,Maven（开发与构建工具）,工具软件与技术平台,3.0,Java后端开发与中间件,Tomcat,JN0096,Tomcat（运维云与安全）,工具软件与技术平台,3.0,Java后端开发与中间件,Maven||Tomcat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01406,TypeScript+Webpack,标准技能组合,TypeScript,Webpack,0.8305535015049482,10.0,10.0,TypeScript,JN0334,TypeScript（编程语言）,工具软件与技术平台,10.0,Web前端开发,Webpack,JN0242,Webpack（前端构建工具）,工具软件与技术平台,10.0,Web前端开发,TypeScript||Webpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01407,React+TypeScript,标准技能组合,React,TypeScript,0.82506231234555,10.0,10.0,React,JN0130,React（开发框架）,工具软件与技术平台,10.0,Web前端开发,TypeScript,JN0334,TypeScript（编程语言）,工具软件与技术平台,10.0,Web前端开发,React||TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01408,Node.js+TypeScript,标准技能组合,Node.js,TypeScript,0.8201075128980942,10.0,10.0,Node.js,JN0186,Node.js（开发框架）,工具软件与技术平台,10.0,Web前端开发,TypeScript,JN0334,TypeScript（编程语言）,工具软件与技术平台,10.0,Web前端开发,Node.js||TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01409,TypeScript+Vite,标准技能组合,TypeScript,Vite,0.8078087395167,10.0,10.0,TypeScript,JN0334,TypeScript（编程语言）,工具软件与技术平台,10.0,Web前端开发,Vite,JN0621,Vite（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,TypeScript||Vite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01410,TypeScript+UniApp,标准技能组合,TypeScript,UniApp,0.8073557973195681,10.0,10.0,TypeScript,JN0334,TypeScript（编程语言）,工具软件与技术平台,10.0,Web前端开发,UniApp,JN0576,UniApp（开发框架）,工具软件与技术平台,10.0,Web前端开发,TypeScript||UniApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01411,UART+USB接口,标准技能组合,UART,USB接口,0.9784088905760918,11.0,11.0,UART,JN0336,UART（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,USB接口,JN0297,USB接口（嵌入式与硬件技术）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,UART||USB接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01412,UDP协议+网络编程,标准技能组合,UDP协议,网络编程,0.9216001013269752,7.0,7.0,UDP协议,JN0354,UDP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,网络编程,JN0155,网络编程,工具软件与技术平台,7.0,网络通信与软件开发基础,UDP协议||网络编程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01413,UDP协议+网络协议,标准技能组合,UDP协议,网络协议,0.9210354489863193,7.0,7.0,UDP协议,JN0354,UDP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,网络协议,JN0693,网络协议,专业知识与行业经验,7.0,网络通信与软件开发基础,UDP协议||网络协议,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01414,UDP协议+多线程编程,标准技能组合,UDP协议,多线程编程,0.8688503835258418,7.0,7.0,UDP协议,JN0354,UDP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,多线程编程,JN0179,多线程编程,工具软件与技术平台,7.0,网络通信与软件开发基础,UDP协议||多线程编程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01415,UG+机械设计,标准技能组合,UG,机械设计,0.9767096636573368,8.0,8.0,UG,JN0164,UG（机械电子电气制造）,方法、标准与流程,8.0,机械设计与制造,机械设计,JN0062,机械设计,方法、标准与流程,8.0,机械设计与制造,UG||机械设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01416,UG+模具设计,标准技能组合,UG,模具设计,0.9343143700809327,8.0,8.0,UG,JN0164,UG（机械电子电气制造）,方法、标准与流程,8.0,机械设计与制造,模具设计,JN0209,模具设计,方法、标准与流程,8.0,机械设计与制造,UG||模具设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01417,UG+机械加工工艺,标准技能组合,UG,机械加工工艺,0.9257940360928232,8.0,8.0,UG,JN0164,UG（机械电子电气制造）,方法、标准与流程,8.0,机械设计与制造,机械加工工艺,JN0117,机械加工工艺,方法、标准与流程,8.0,机械设计与制造,UG||机械加工工艺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01418,UI设计+交互设计,标准技能组合,UI设计,交互设计,0.9422122974664191,5.0,5.0,UI设计,JN0124,用户界面设计（UI设计）,方法、标准与流程,5.0,视觉设计与数字内容制作,交互设计,JN0138,交互设计,方法、标准与流程,5.0,视觉设计与数字内容制作,UI设计||交互设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01419,UI设计+UX设计,标准技能组合,UI设计,UX设计,0.8555353191176364,5.0,5.0,UI设计,JN0124,用户界面设计（UI设计）,方法、标准与流程,5.0,视觉设计与数字内容制作,UX设计,JN0362,用户体验设计（UX设计）,方法、标准与流程,5.0,视觉设计与数字内容制作,UI设计||UX设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01420,H5开发+UI设计,标准技能组合,H5开发,UI设计,0.8361761129451074,10.0,5.0,H5开发,JN0228,H5开发（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,UI设计,JN0124,用户界面设计（UI设计）,方法、标准与流程,5.0,视觉设计与数字内容制作,H5开发||UI设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01421,UI设计+小程序开发,标准技能组合,UI设计,小程序开发,0.8157417457767026,5.0,10.0,UI设计,JN0124,用户界面设计（UI设计）,方法、标准与流程,5.0,视觉设计与数字内容制作,小程序开发,JN0227,小程序开发,工具软件与技术平台,10.0,Web前端开发,UI设计||小程序开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01422,Sketch+UI设计,标准技能组合,Sketch,UI设计,0.7570702219105061,5.0,5.0,Sketch,JN0330,Sketch（界面与交互设计）,工具软件与技术平台,5.0,视觉设计与数字内容制作,UI设计,JN0124,用户界面设计（UI设计）,方法、标准与流程,5.0,视觉设计与数字内容制作,Sketch||UI设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01423,UML+Web Service,标准技能组合,UML,Web Service,0.9587631916569582,3.0,3.0,UML,JN0269,UML（工程设计仿真与检测软件）,工具软件与技术平台,3.0,Java后端开发与中间件,Web Service,JN0260,Web Service（Web服务）,具体专业技能,3.0,Java后端开发与中间件,UML||Web Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01424,Eclipse+UML,标准技能组合,Eclipse,UML,0.9515656830038375,3.0,3.0,Eclipse,JN0245,Eclipse（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,UML,JN0269,UML（工程设计仿真与检测软件）,工具软件与技术平台,3.0,Java后端开发与中间件,Eclipse||UML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01425,UML+iBATIS,标准技能组合,UML,iBATIS,0.9432301551768095,3.0,3.0,UML,JN0269,UML（工程设计仿真与检测软件）,工具软件与技术平台,3.0,Java后端开发与中间件,iBATIS,JN0261,iBATIS（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,UML||iBATIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01426,Hibernate+UML,标准技能组合,Hibernate,UML,0.9412345201239067,3.0,3.0,Hibernate,JN0122,Hibernate（开发框架）,工具软件与技术平台,3.0,Java后端开发与中间件,UML,JN0269,UML（工程设计仿真与检测软件）,工具软件与技术平台,3.0,Java后端开发与中间件,Hibernate||UML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01427,Java EE+UML,标准技能组合,Java EE,UML,0.9386563568970069,3.0,3.0,Java EE,JN0086,Java EE（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,UML,JN0269,UML（工程设计仿真与检测软件）,工具软件与技术平台,3.0,Java后端开发与中间件,Java EE||UML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01428,UPS供配电+电力电子技术,标准技能组合,UPS供配电,电力电子技术,0.8757917686623882,9.0,9.0,UPS供配电,JN0350,UPS供配电（明确工具知识流程与资格）,工具软件与技术平台,9.0,工业自动化与电气控制,电力电子技术,JN0737,电力电子技术,专业知识与行业经验,9.0,工业自动化与电气控制,UPS供配电||电力电子技术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01429,Buck变换器+UPS供配电,标准技能组合,Buck变换器,UPS供配电,0.7997590896663401,9.0,9.0,Buck变换器,JN0580,Buck变换器（嵌入式与硬件技术）,工具软件与技术平台,9.0,工业自动化与电气控制,UPS供配电,JN0350,UPS供配电（明确工具知识流程与资格）,工具软件与技术平台,9.0,工业自动化与电气控制,Buck变换器||UPS供配电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01430,UPS供配电+储能,标准技能组合,UPS供配电,储能,0.7850615115654479,9.0,9.0,UPS供配电,JN0350,UPS供配电（明确工具知识流程与资格）,工具软件与技术平台,9.0,工业自动化与电气控制,储能,JN0708,储能,专业知识与行业经验,9.0,工业自动化与电气控制,UPS供配电||储能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01431,ARM架构+USB接口,标准技能组合,ARM架构,USB接口,0.9483836824987547,11.0,11.0,ARM架构,JN0167,ARM架构（嵌入式与硬件技术）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,USB接口,JN0297,USB接口（嵌入式与硬件技术）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,ARM架构||USB接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01432,UX设计+交互设计,标准技能组合,UX设计,交互设计,0.9420590857169977,5.0,5.0,UX设计,JN0362,用户体验设计（UX设计）,方法、标准与流程,5.0,视觉设计与数字内容制作,交互设计,JN0138,交互设计,方法、标准与流程,5.0,视觉设计与数字内容制作,UX设计||交互设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01433,UniApp+Webpack,标准技能组合,UniApp,Webpack,0.9427922423200192,10.0,10.0,UniApp,JN0576,UniApp（开发框架）,工具软件与技术平台,10.0,Web前端开发,Webpack,JN0242,Webpack（前端构建工具）,工具软件与技术平台,10.0,Web前端开发,UniApp||Webpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01434,UniApp+Vite,标准技能组合,UniApp,Vite,0.9418209015836998,10.0,10.0,UniApp,JN0576,UniApp（开发框架）,工具软件与技术平台,10.0,Web前端开发,Vite,JN0621,Vite（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,UniApp||Vite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01435,Angular+UniApp,标准技能组合,Angular,UniApp,0.9078188735151719,10.0,10.0,Angular,JN0264,Angular（开发框架）,工具软件与技术平台,10.0,Web前端开发,UniApp,JN0576,UniApp（开发框架）,工具软件与技术平台,10.0,Web前端开发,Angular||UniApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
